RU	EN	LEN	ROW	TIME
	This man is worth $500,	23	0	00:00:41a
	and this man's going to collect.	32	1	00:00:41b
	He's Jake Cahill, and he lives by...	36	2	00:00:44a
	Bounty Law.	11	3	00:00:46a
	You don't ever bring them in alive, do you, Jake?	49	4	00:00:49a
	Not when there's three of them and one of me.	45	5	00:00:57a
	What are you looking at, bounty killer?	39	6	00:00:58a
	I'm looking at an ugly owl-hoot about to get his jaw busted.	60	7	00:01:02a
	Amateurs try and take men in alive.	35	8	00:01:07a
	Amateurs usually don't make it.	31	9	00:01:09a
	Whether you're dead or alive,	29	10	00:01:14a
	you're just a dollar sign to Jake Cahill on Bounty Law.	55	11	00:01:14b
	Thursdays at 8.30, only on NBC.	31	12	00:01:22a
	Hello, everybody.	17	13	00:01:23a
	This is Allen Kincade on the set of the exciting hit NBC and Screen Gems television series Bounty Law.	102	14	00:01:28a
	Now, if you think you're seeing double,	39	15	00:01:34a
	don't adjust your television sets because,	42	16	00:01:34b
	in a way, you are.	18	17	00:01:34c
	To my right is Bounty Law series lead and Jake Cahill himself,	62	18	00:01:38a
	And to my left is Rick's stunt double,	38	19	00:01:41a
	Welcome and thanks for taking the time to visit with us.	56	20	00:01:43a
	It's our pleasure, Allen.	25	21	00:01:46a
	So, Rick, explain to the audience exactly what it is a stunt double does.	73	22	00:01:53a
	actors are required to do a lot of dangerous stuff.	51	23	00:01:56a
	Say Jake Cahill gets shot off his horse.	40	24	00:01:59a
	Now, can I fall off a horse?	28	25	00:02:01a
	Yes, I can, and, yes, I have.	29	26	00:02:07a
	But say I fall off wrong and I sprain my wrist or I...	54	27	00:02:10a
	or I twist my ankle.	20	28	00:02:12a
	Now, that can put an undue burden on production because now maybe I can't work for a week.	90	29	00:02:17a
	So Cliff here is meant to help carry the load.	46	30	00:02:20a
	Is that how you'd describe your job, Cliff?	43	31	00:02:22a
	What, carrying his load?	24	32	00:02:22b
	Yeah, that's about right.	25	33	00:02:30a
	Join me next week on the set of	31	34	00:02:30b
	The Dick Van Dyke Show,	23	35	00:02:36a
	where I'll be talking to comical cutups,	40	36	00:02:36b
	Morey Amsterdam and Rose Marie.	31	37	00:02:36c
	Till then, this is Allen Kincade signing off from Hollywood.	60	38	00:03:56a
	Hi.	03	39	00:03:56b
	I missed you.	13	40	00:04:02a
	The black one.	14	41	00:04:02b
	And the flowers.	16	42	00:04:04a
	Flowers, Ava, flowers.	22	43	00:04:06a
	And there's the small one.	26	44	00:04:07a
	Can I see your tickets?	23	45	00:04:09a
	Good boy.	09	46	00:05:11a
	Gina, Gina, Gina.	17	47	00:05:13a
	The face in the misty light.	28	48	00:05:15a
	Hello, Mr. Schwarz.	19	49	00:05:15b
	Hello, Gina.	12	50	00:05:18a
	I, uh...	08	51	00:05:18b
	I have a meeting with a very handsome cowboy man.	49	52	00:05:22a
	He's waiting for you in the bar.	32	53	00:05:25a
	Ah.	03	54	00:05:28a
	since I just finished watching a Rick Dalton fucking film festival,	67	55	00:05:32a
	I think I know who you are.	27	56	00:05:32b
	Put it there.	13	57	00:05:35a
	Well, it's my pleasure, Mr. Schwartz.	37	58	00:05:37a
	And thank you for taking an interest.	37	59	00:05:39a
	Schwarz, not Schwartz.	22	60	00:05:41a
	G-goddamn it to hell.	21	61	00:05:41b
	I'm-I'm sorry about that.	25	62	00:05:44a
	It's my pleasure, Mr. Schwarz.	30	63	00:05:44b
	Call me Marvin.	15	64	00:05:47a
	Marvin, call me Rick.	21	65	00:05:49a
	Rick?	05	66	00:05:49b
	Yeah.	05	67	00:05:50a
	Is that your son?	17	68	00:05:50b
	My son?	07	69	00:05:52a
	No, that's my stunt double, Cliff Booth.	40	70	00:05:52b
	Yeah.	05	71	00:05:55a
	Good to meet you.	17	72	00:05:55b
	We've worked together since the last two seasons of Bounty Law.	63	73	00:05:59a
	Yeah?	05	74	00:05:59b
	My car's in the shop, so he gave me a ride.	43	75	00:06:02a
	That's a big fucking lie.	25	76	00:06:03a
	Rick got his driver's license taken away for too many drunk-driving tickets.	76	77	00:06:07a
	Cliff drives him everywhere now.	32	78	00:06:09a
	Fuck.	05	79	00:06:10a
	Well, sounds like a good friend.	32	80	00:06:11a
	I try.	06	81	00:06:11b
	Mm.	03	82	00:06:13a
	I wanna send you greetings from my wife,	40	83	00:06:18a
	Mary Alice Schwarz.	19	84	00:06:18b
	Well, that's nice.	18	85	00:06:22a
	Thanks a lot.	13	86	00:06:26a
	We had a Rick Dalton double feature in our screening room last night.	69	87	00:06:31a
	Well, that's both flattering and-and embarrassing.	50	88	00:06:36a
	What'd you see?	15	89	00:06:37a
	Thirty-five mm prints of Tanner and	35	90	00:06:40a
	The Fourteen Fists of McCluskey.	32	91	00:06:49a
	I hope the, Rick Dalton double feature wasn't too painful for you and the...	76	92	00:06:52a
	And the missus.	15	93	00:06:55a
	No.	03	94	00:06:55b
	Painful.	08	95	00:06:55c
	Stop.	05	96	00:06:55d
	What are you saying?	20	97	00:07:01a
	Mary Alice loves Westerns.	26	98	00:07:03a
